condition_label,medical_abstract
5,"Tissue changes around loose prostheses. A canine model to investigate the effects of an antiinflammatory agent. The aseptically loosened prosthesis provided a means for investigating the in vivo and in vitro activity of the cells associated with the loosening process in seven dogs. The cells were isolated and maintained in culture for sufficient periods of time so that their biologic activity could be studied as well as the effect of different agents added to the cells in vivo or in vitro. The biologic response as determined by interleukin-1 and prostaglandin E2 activity paralleled the roentgenographic appearance of loosening and the technetium images and observations made at the time of revision surgery. The correlation between clinical, roentgenographic, histologic, and biochemical loosening indicates that the canine model is suitable for investigating the mechanisms of prosthetic failure. A canine model permits the study of possible nonsurgical therapeutic interventions with the ultimate hope of stopping or slowing the loosening process. "
1,"Neuropeptide Y and neuron-specific enolase levels in benign and malignant pheochromocytomas. Neuron-specific enolase (NSE) is the isoform of enolase, a glycolytic enzyme found in the neuroendocrine system. Neuropeptide Y (NPY) is a peptide recently discovered in the peripheral and central nervous systems. Serum NSE and plasma NPY levels have been reported to be increased in some patients with pheochromocytoma. The authors evaluated whether the measurement of these molecules could help to discriminate between benign and malignant forms of pheochromocytoma. The NSE levels were normal in all patients with benign pheochromocytoma (n = 13) and elevated in one half of those with malignant pheochromocytoma (n = 13). Plasma NPY levels were on the average significantly higher in the malignant (177.1 +/- 38.9 pmol/l, n = 16) than in the benign forms of the disease (15.7 +/- 389 pmol/l, n = 24). However, there was no difference in the percentage of patients with elevated NPY levels. These results show that determination of serum NSE may be useful for distinguishing between malignant and benign pheochromocytoma; the measurement of plasma NPY is not useful for differentiating the two kinds of tumors. "
2,"Sexually transmitted diseases of the colon, rectum, and anus. The challenge of the nineties. During the past two decades, an explosive growth in both the prevalence and types of sexually transmitted diseases has occurred. Up to 55 percent of homosexual men with anorectal complaints have gonorrhea; 80 percent of the patients with syphilis are homosexuals. Chlamydia is found in 15 percent of asymptomatic homosexual men, and up to one third of homosexuals have active anorectal herpes simplex virus. In addition, a host of parasites, bacterial, viral, and protozoan are all rampant in the homosexual population. Furthermore, the global epidemic of AIDS has produced a plethora of colorectal manifestations. Acute cytomegalovirus ileocolitis is the most common indication for emergency abdominal surgery in the homosexual AIDS population. Along with cryptosporidia and isospora, the patient may present to the colorectal surgeon with bloody diarrhea and weight loss before the diagnosis of human immunodeficiency virus (HIV) disease. Other patients may present with colorectal Kaposi's sarcoma or anorectal lymphoma, and consequently will be found to have seropositivity for HIV. However, in addition to these protean manifestations, one third of patients with AIDS consult the colorectal surgeon with either condylomata acuminata, anorectal sepsis, or proctitis before the diagnosis of HIV disease. Although aggressive anorectal surgery is associated with reasonable surgical results in some asymptomatic HIV positive patients, the same procedures in AIDS (symptomatic HIV positive) patients will often be met with disastrous results. It is incumbent upon the surgeon, therefore, to recognize the manifestations of HIV disease and diagnose these conditions accordingly. "
1,"Lipolytic factors associated with murine and human cancer cachexia. We have identified a lipolytic factor in extracts of a cachexia-inducing murine carcinoma (MAC16) that shows characteristics of an acidic peptide and appears to be composed of three fractions of apparent molecular weights corresponding to 3 kd, 1.5 kd, and 0.7 kd, as determined by exclusion chromatography. Material with identical chromatographic and molecular weight characteristics was also present in the serum of patients with clinical cancer cachexia but absent from normal serum, even under conditions of starvation. The MAC16 lipid factor, when injected into animals bearing the non-cachexia-inducing tumor MAC13, was capable of inducing weight loss without a significant reduction in food intake. Similar lipolytic material, although in lower concentration, was also found in the MAC13 tumor extracts. These findings suggest that cachexia may arise from the enhanced expression of a lipolytic factor associated with tumor cells. "
3,"Does carotid restenosis predict an increased risk of late symptoms, stroke, or death? The identification of carotid restenosis as an unexpected late complication of carotid endarterectomy has prompted concerns regarding its importance as a source of new cerebral symptoms, stroke, and death. To investigate these concerns, we analyzed a consecutive series of 507 patients undergoing 566 carotid endarterectomies, each documented as technically satisfactory. Post-operative duplex Doppler examination data at 3 days, 1, 3, 6, 12 months, and annually thereafter in 484 arteries (85.5%) permitted classification of these arteries according to the most severe degree of postoperative stenosis: normal (n = 306); 1% to 19% (n = 89); 20% to 50% (n = 40); more than 50% (n = 49, including 8 occluded). The incidence of more than 50% restenosis was 14.5% in female and 7.7% in male patients (p = 0.003). Life table analyses to 10 years revealed a significantly greater life expectancy among those with restenosis (p = 0.05). Stroke was also less likely in patients with restenosis, although this difference did not reach statistical significance. When survival and stroke were both endpoints, the likelihood of patients with more than 50% restenosis remaining alive and stroke free was also greater than the less than 20% stenotic group (p = 0.03). Thus patients with carotid restenosis were less likely than patients with normal postoperative scans to have late symptoms, stroke, or early death. "
3,"The shoulder in multiple epiphyseal dysplasia. One hundred shoulders were assessed in 50 patients with multiple epiphyseal dysplasia, of which one-third were found to have bilateral symptoms. Two distinct clinical and radiological groups emerged. Those with minor epiphyseal abnormalities developed painful osteoarthritis in middle age, but retained shoulder movement until the secondary changes were advanced. Those with 'hatchet head' shoulders likewise became painful in the fifth and sixth decades but had minimal glenohumeral movement from an early stage. "
2,"The management of postoperative chylous ascites. A case report and literature review. Chylous ascites remains rare as a complication of surgical intervention. Although therapeutic manoeuvres to control chylous ascites have been developed over the past 20 years, its pathophysiology is poorly understood. Conservative approaches involving dietary restriction of long-chain triglycerides and salt, together with multiple paracenteses, are still the therapies of choice. Persistent chylous ascites may be treated surgically by ligation of leaking lymphatics or implantation of a peritoneovenous shunt once the lymphatic anatomy has been defined by preoperative investigations. We report a case of chylous ascites developing after laparotomy and duodenotomy for obscure gastrointestinal bleeding, which did not respond adequately to medical therapy and was successfully managed by the insertion of a peritoneovenous shunt. "
4,"Pharmacomechanical thrombolysis and angioplasty in the management of clotted hemodialysis grafts: early and late clinical results. The results of pharmacomechanical thrombolysis and angioplasty of 121 thrombosed hemodialysis grafts were reviewed. The initial pharmacomechanical method (used in 65 cases) employed clot maceration with hook-shaped catheters and clot lacing with highly concentrated urokinase. The current technique (used in 56 cases) consisted of pulsed-spray injection of urokinase into the clot. All fully treated grafts (117 cases) underwent complete or near-complete thrombolysis, and 93% remained patent after 1 day. Mean time for pulsed-spray lysis was 46 minutes +/- 21. One patient (less than 1%) had gastrointestinal bleeding and received a transfusion; minor complications occurred in 3% of patients. Primary and secondary graft patency rates for both methods at 1 year were 26% and 51%, respectively. While graft age and results of angioplasty did not influence future graft patency, shorter intervals between graft thromboses was predictive of earlier subsequent graft failure. Results suggest that pharmacomechanical thrombolysis and angioplasty provide rapid, consistent, and safe recanalization of clotted hemodialysis grafts and represent a promising additional therapeutic approach to long-term graft management. "
5,"Color Doppler diagnosis of mechanical prosthetic mitral regurgitation: usefulness of the flow convergence region proximal to the regurgitant orifice. In prosthetic or paravalvular prosthetic mitral regurgitation, transthoracic color Doppler flow mapping can sometimes fail to detect the regurgitant jet within the left atrium because of the shadowing by the prosthetic valve. To overcome this limitation, we assessed the utility of color Doppler visualization of the flow convergence region (FCR) proximal to the regurgitant orifice in 20 consecutive patients with mechanical prosthetic mitral regurgitation documented by surgery and cardiac catheterization (13 of 20 patients). In addition, we studied 33 patients with normally functioning mitral prostheses. Doppler studies were performed in the apical, subcostal, and parasternal long-axis views. An FCR was detected in 95% (19 of 20) of patients with prosthetic mitral regurgitation. A jet area in the left atrium was detected in 60% (12 of 20) of patients. In 18 of 19 patients with Doppler-detected FCR, the site of the leak was correctly identified by observing the location of the FCR. A trivial jet area was detected in eight patients with a normally functioning mitral prosthesis; in none was an FCR identified. Thus color Doppler visualization of the FCR proximal to the regurgitant orifice is superior to the jet area in the diagnosis of mechanical prosthetic mitral regurgitation. Moreover, FCR permits localization of the site of the leak with good accuracy. "
5,"Noninvasive diagnosis of right-sided extracardiac conduit obstruction by combined magnetic resonance imaging and continuous-wave Doppler echocardiography. Right-sided extracardiac conduits are frequently complicated by obstruction over time. We compared the utility of two-dimensional and Doppler echocardiography and magnetic resonance imaging in the diagnosis of postoperative right-sided obstruction with cardiac catheterization and angiography in 10 patients with xenograft or homograft conduits. Correlation (r = 0.95) between continuous-wave Doppler estimates and catheter pullback pressure gradients across the conduits was excellent. Echocardiography could only visualize five of 10 conduits in their entirety. Magnetic resonance imaging visualized all conduits and showed statistically significant (kappa = 0.58) agreement with angiography in the localization and estimation of severity of a variety of right-sided obstructions in these patients. However, flow voids created by the metallic ring around xenograft valves led to a false negative diagnosis of valvular stenosis in four patients when magnetic resonance imaging was used alone. Doppler studies correctly indicated obstruction in these patients. The combination of magnetic resonance imaging studies and continuous-wave Doppler echocardiography can be useful to noninvasively evaluate right-sided obstruction in postoperative patients with right-sided extracardiac conduits. "
